Date,Open,High,Low,Close,Adj Close,Volume
2007-06-20,96.800003,97.059998,95.000000,95.089996,57.319473,1665800
2007-06-21,94.849998,95.349998,94.650002,95.089996,57.319473,2235700
2007-06-22,94.930000,95.000000,93.139999,93.389999,56.294704,2308600
2007-06-25,93.769997,94.330002,93.320000,94.019997,56.674488,1918700
2007-06-26,94.419998,94.900002,93.720001,94.190002,56.776978,2119600
2007-06-27,93.550003,94.750000,93.379997,94.419998,56.915604,1594200
2007-06-28,93.580002,94.300003,93.059998,93.400002,56.300770,2249900
2007-06-29,93.599998,94.989998,93.449997,94.129997,56.740795,2071800
2007-07-02,94.669998,95.379997,94.120003,94.660004,57.060284,1628400
2007-07-03,95.330002,95.870003,94.970001,95.470001,57.548534,672200
2007-07-05,95.849998,97.059998,95.529999,96.699997,58.289967,1857800
2007-07-06,96.599998,96.959999,96.250000,96.629997,58.247742,1174900
2007-07-09,96.430000,97.589996,96.430000,96.959999,58.446709,1148800
2007-07-10,96.349998,96.500000,94.180000,94.180000,56.770939,2076500
2007-07-11,94.209999,95.160004,94.110001,94.589996,57.018074,1339800
2007-07-12,95.400002,97.389999,94.589996,97.389999,58.705891,1931200
2007-07-13,97.500000,97.690002,96.599998,97.339996,58.675770,1281600
2007-07-16,96.800003,97.019997,96.120003,96.800003,58.350258,1299200
2007-07-17,96.480003,99.139999,96.209999,98.559998,59.411156,1910000
2007-07-18,98.330002,98.769997,96.900002,98.489998,59.368954,2072300
2007-07-19,98.849998,99.180000,98.550003,98.980003,59.664352,1559400
2007-07-20,98.139999,99.169998,97.279999,97.889999,59.007301,1721500
2007-07-23,98.680000,99.900002,98.279999,99.519997,59.989864,1685500
2007-07-24,102.000000,107.330002,100.419998,103.089996,62.141823,8506200
2007-07-25,104.230003,104.690002,100.260002,101.900002,61.424492,4656600
2007-07-26,102.389999,104.199997,99.349998,100.580002,60.628792,6121400
2007-07-27,100.379997,101.120003,99.269997,99.279999,59.845200,2364600
2007-07-30,100.099998,101.629997,99.769997,100.500000,60.580593,3175300
2007-07-31,101.500000,102.160004,98.480003,98.480003,59.362946,2841100
2007-08-01,98.870003,102.400002,98.550003,101.699997,61.303921,2775000
2007-08-02,102.000000,102.760002,101.180000,102.379997,61.713810,3131500
2007-08-03,101.680000,102.610001,99.370003,99.370003,59.899433,2296500
2007-08-06,99.910004,101.129997,99.379997,100.849998,60.791576,1937400
2007-08-07,100.199997,100.250000,97.650002,98.260002,59.230320,3053000
2007-08-08,98.519997,98.690002,93.680000,94.669998,57.066303,5364800
2007-08-09,94.500000,95.599998,91.190002,91.360001,55.071056,7594900
2007-08-10,90.320000,95.930000,88.860001,94.309998,56.849300,6694000
2007-08-13,95.639999,99.449997,95.639999,98.000000,59.073601,3994400
2007-08-14,98.080002,98.330002,95.510002,96.059998,57.904182,2764000
2007-08-15,96.750000,97.169998,94.650002,94.830002,57.162746,2378100
2007-08-16,93.610001,96.150002,92.690002,95.500000,57.566620,4047400
2007-08-17,98.480003,98.480003,95.279999,96.220001,58.000637,2729200
2007-08-20,96.000000,96.970001,94.839996,96.199997,57.988560,1548300
2007-08-21,95.099998,96.610001,94.849998,95.510002,57.572647,1493600
2007-08-22,95.309998,98.260002,95.309998,97.790001,58.947006,2522200
2007-08-23,98.000000,98.750000,96.279999,96.930000,58.428604,1667100
2007-08-24,97.339996,100.019997,97.150002,100.019997,60.291237,1834600
2007-08-27,99.500000,102.500000,99.120003,102.410004,61.731930,2416900
2007-08-28,102.139999,102.139999,97.739998,97.790001,58.947006,4124500
2007-08-29,98.610001,99.779999,98.510002,99.709999,60.104374,2146300
2007-08-30,99.709999,99.709999,98.349998,98.650002,59.674866,1758200
2007-08-31,99.779999,100.330002,98.980003,99.139999,59.971298,1439100
2007-09-04,99.250000,99.250000,97.610001,98.820000,59.777714,1787500
2007-09-05,98.559998,99.239998,97.389999,98.870003,59.807968,2132500
2007-09-06,98.860001,99.230003,97.809998,98.389999,59.517616,1436300
2007-09-07,97.500000,98.250000,96.470001,96.639999,58.458996,2133300
2007-09-10,96.900002,98.400002,96.709999,97.510002,58.985275,1707900
2007-09-11,97.879997,98.529999,94.970001,97.989998,59.275646,1663200
2007-09-12,97.699997,98.870003,97.000000,97.620003,59.051826,1628500
2007-09-13,98.650002,100.160004,98.370003,99.639999,60.273743,2229500
2007-09-14,99.230003,101.570000,98.730003,101.339996,61.302101,2251300
2007-09-17,100.339996,101.230003,99.070000,99.410004,60.134609,2619900
2007-09-18,100.949997,102.160004,100.279999,102.099998,61.761837,2286400
2007-09-19,101.860001,103.389999,100.830002,101.190002,61.211376,2272100
2007-09-20,100.989998,101.889999,100.690002,101.040001,61.120625,1660100
2007-09-21,101.989998,103.470001,101.040001,103.199997,62.427238,2877000
2007-09-24,103.809998,104.010002,102.089996,102.349998,61.913078,2102300
2007-09-25,102.300003,105.120003,102.279999,104.959999,63.491901,2604900
2007-09-26,105.110001,107.000000,104.419998,105.720001,63.951626,3564200
2007-09-27,105.589996,106.889999,103.809998,106.790001,64.598900,4207100
2007-09-28,106.849998,108.750000,106.489998,108.489998,65.627266,2847300
2007-10-01,108.150002,109.860001,108.059998,108.739998,65.778442,3328300
2007-10-02,109.010002,110.309998,107.330002,107.790001,65.203812,3313400
2007-10-03,107.110001,107.480003,106.639999,106.949997,64.695663,1833200
2007-10-04,107.550003,109.900002,107.050003,109.000000,65.935753,2640800
2007-10-05,109.750000,109.989998,108.300003,108.699997,65.754303,1841000
2007-10-08,108.400002,109.570000,108.019997,109.000000,65.935753,1342100
2007-10-09,109.169998,111.760002,109.010002,111.400002,67.387558,2812900
2007-10-10,110.970001,112.000000,109.849998,110.739998,66.988312,3252300
2007-10-11,111.599998,113.739998,111.440002,111.879997,67.677933,2600700
2007-10-12,111.870003,112.059998,110.760002,111.669998,67.550842,1729100
2007-10-15,111.970001,112.110001,109.570000,110.699997,66.964119,1562700
2007-10-16,110.879997,111.000000,109.570000,110.680000,66.952019,1689200
2007-10-17,111.680000,111.680000,108.570000,109.930000,66.498329,2032300
2007-10-18,109.870003,111.040001,108.209999,109.010002,65.941795,1758900
2007-10-19,108.459999,108.989998,106.000000,106.160004,64.217796,2921100
2007-10-22,105.400002,107.809998,103.639999,107.239998,64.871101,2408200
2007-10-23,107.760002,108.389999,106.180000,106.970001,64.707771,2459500
2007-10-24,106.160004,108.900002,103.330002,108.019997,65.342941,2437500
2007-10-25,108.400002,111.000000,107.750000,110.150002,66.631424,2771500
2007-10-26,110.599998,111.099998,107.500000,108.610001,65.699821,2089000
2007-10-29,108.120003,109.739998,108.099998,109.239998,66.080933,1367700
2007-10-30,109.010002,110.059998,107.860001,108.239998,65.476006,1720200
2007-10-31,108.830002,110.279999,107.750000,110.040001,66.564850,2746700
2007-11-01,109.000000,110.510002,108.550003,108.830002,65.832893,1893900
2007-11-02,110.059998,110.849998,108.779999,110.120003,66.613251,1690300
2007-11-05,108.000000,110.720001,108.000000,109.400002,66.177757,1787400
2007-11-06,109.419998,109.989998,107.790001,109.449997,66.207954,2176000
2007-11-07,109.639999,110.080002,107.900002,108.080002,65.379250,1996500
2007-11-08,107.099998,108.889999,105.870003,107.180000,64.834785,2773900
2007-11-09,105.980003,110.739998,105.980003,109.349998,66.147484,3166100
2007-11-12,109.379997,110.379997,107.650002,108.730003,65.772430,2574800
2007-11-13,109.089996,112.339996,108.989998,112.250000,67.901718,3200500
2007-11-14,113.000000,113.000000,110.820000,111.900002,67.689980,3076500
